"","id","title","release_frequency","next_release","description","links_latest_versions","links_self_href","qmi_href"
"1","wellbeing-quarterly","Quarterly personal well-being estimates","Quarterly","TBC","Seasonally and non seasonally-adjusted quarterly estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety in the UK.","https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly/editions/time-series/versions/9","https://api.beta.ons.gov.uk/v1/datasets/wellbeing-quarterly","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/methodologies/personalwellbeingintheukqmi"
"2","wellbeing-local-authority","Personal well-being estimates by local authority","Annual","TBC","Estimates of life satisfaction, feeling that the things done in life are worthwhile, happiness and anxiety at the UK, country, regional, county, local and unitary authority level.","https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority/editions/time-series/versions/4","https://api.beta.ons.gov.uk/v1/datasets/wellbeing-local-authority","https://www.ons.gov.uk/peoplepopulationandcommunity/wellbeing/methodologies/personalwellbeingintheukqmi"
"3","weekly-deaths-region","Deaths registered weekly in England and Wales by region","Weekly","24 April 2024","Provisional counts of the number of deaths registered in England and Wales, by region, in the latest weeks for which data are available.","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region/editions/time-series/versions/14","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-region","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi"
"4","weekly-deaths-local-authority","Death registrations and occurrences by local authority and place of death","Weekly","17 January 2024","Provisional counts of the number of deaths registered in England and Wales, including deaths involving the coronavirus (COVID-19), by local authority, health board and place of death in the latest weeks for which data are available.","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority/editions/2023/versions/50","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-local-authority","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi"
"5","weekly-deaths-health-board","Death registrations and occurrences by health board and place of death","Weekly","17 January 2024","Provisional counts of the number of deaths registered in Wales, by health board and place of death, in the latest weeks for which data are available.","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board/editions/2023/versions/50","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-health-board","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi"
"6","weekly-deaths-age-sex","Deaths registered weekly in England and Wales by age and sex","Weekly","24 April 2024","Provisional counts of the number of deaths registered in England and Wales, by age and sex, in the latest weeks for which data are available.","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex/editions/time-series/versions/14","https://api.beta.ons.gov.uk/v1/datasets/weekly-deaths-age-sex","https://www.ons.gov.uk/peoplepopulationandcommunity/birthsdeathsandmarriages/deaths/methodologies/mortalitystatisticsinenglandandwalesqmi"
"7","uk-spending-on-cards","UK spending on credit and debit cards","Weekly","To be announced","These data series are experimental faster indicators for monitoring UK spending using debit and credit cards.","https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards/editions/time-series/versions/125","https://api.beta.ons.gov.uk/v1/datasets/uk-spending-on-cards","https://www.bankofengland.co.uk/payment-and-settlement/chaps-faster-indicator"
"8","uk-business-by-enterprises-and-local-units","UK Business: Activity, Size and Location","Annual","To be announced","The data contained in these tables are numbers of enterprises and local units produced from a snapshot of the Inter-Departmental Business Register (IDBR) taken on 12 March 2021. This dataset contains details of the number of VAT and/or PAYE based enterprises and local units in districts, counties and unitary authorities within region and country by broad industry group.","https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units/editions/2022/versions/1","https://api.beta.ons.gov.uk/v1/datasets/uk-business-by-enterprises-and-local-units","https://www.ons.gov.uk/businessindustryandtrade/business/activitysizeandlocation/methodologies/ukbusinessactivitysizeandlocationqmi"
"9","traffic-camera-activity","Traffic Camera Activity","Weekly","To be announced","Experimental dataset for business indices covering the UK as part of the real-time indicators release to help better understand economic activity and social change in the UK.","https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity/editions/time-series/versions/100","https://api.beta.ons.gov.uk/v1/datasets/traffic-camera-activity","https://datasciencecampus.ons.gov.uk/projects/estimating-vehicle-and-pedestrian-activity-from-town-and-city-traffic-cameras/"
"10","trade","Trade in goods: country by commodity","Monthly","12 April 2024","Country by commodity data on the UK's trade in goods, including trade by all countries and selected commodities, exports and imports, non seasonally adjusted.","https://api.beta.ons.gov.uk/v1/datasets/trade/editions/time-series/versions/42","https://api.beta.ons.gov.uk/v1/datasets/trade","https://www.ons.gov.uk/economy/nationalaccounts/balanceofpayments/methodologies/uktradeqmi"
